domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
rx.unmineable.com,3333,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/sky1241/linux-upgrade/blob/706cdb2e48dcebc8688469b292d5e369fdda0bd2/mining/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=sky1241/linux-upgrade; path=mining/config.json; review before promotion.
rx2.na.mine.zergpool.com,8335,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,North America,open_source,https://github.com/cniweb/cpuminer-rx2-docker/blob/c4c11257014e75991a2334de6ce4ed9a02faab85/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=cniweb/cpuminer-rx2-docker; path=config.json; review before promotion.
scash.work,9601,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/Pow-King/Scash-Miner/blob/87230812365a7eeac990f2254231616eb8c9a5c3/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=Pow-King/Scash-Miner; path=config.json; review before promotion.
sg.vipor.net,5040,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/saijame-art/miner/blob/40873dd9dc3c60d6b22b4ed27c14ceacc7b7b627/onlineconfig.json; https://github.com/zikyu7/ccminer/blob/c4aeca3019bf7df95752dacdfc177ae83bf39d03/config.json; https://github.com/ksp-fon/mining/blob/51625729c18516cde084ca334db1fcd7041c3a1c/config.json; https://github.com/Ngocgiau2000/bootpro/blob/2bb5fb6cdae652575e91d01824fe787bd4854290/config.json; https://github.com/Ngocgiau2000/maianhconfig/blob/338ed4bfa63e5f5e4e38a1aaf90e9c383353d24d/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=saijame-art/miner; path=onlineconfig.json; review before promotion.
sg.vipor.net,5077,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/nguyenquanh2008/config/blob/e2b2c367282e83877bfe7b2f97867218f358d701/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_ssl_json; repo=nguyenquanh2008/config; path=config.json; review before promotion.
sg.vipor.net,5177,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/nguyenquanh2008/config/blob/e2b2c367282e83877bfe7b2f97867218f358d701/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_ssl_json; repo=nguyenquanh2008/config; path=config.json; review before promotion.
solo.ckpool.org,3333,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/Yash-xoxo/BTC/blob/2c16607ba8c3dce858825c2e8c8a0b85980cb739/docker-compose.yml,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query docker_compose_stratum; repo=Yash-xoxo/BTC; path=docker-compose.yml; review before promotion.
ss.antpool.com,443,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/bboerst/stratum-work/blob/e3dcc5070085d3431d972a4d37a8c3ff1cd7f4ce/docker-compose.yml,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query docker_compose_stratum; repo=bboerst/stratum-work; path=docker-compose.yml; review before promotion.
stratum-asia.rplant.xyz,7070,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Asia,open_source,https://github.com/Adeemar7/whiveAWS/blob/48d38450fe8be3fa5c02e6921bfc9d184372ef2a/config.json.bak,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=Adeemar7/whiveAWS; path=config.json.bak; review before promotion.
stratum-ravencoin.flypool.org,3333,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/Flofactionllc/flofaction-website-backup/blob/fe35390c9fea96ada1fb7e6be331bfed252fbfbe/multi_algorithm_config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=Flofactionllc/flofaction-website-backup; path=multi_algorithm_config.json; review before promotion.
stratum.vecocoin.com,8602,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/vecocoin/GUI-miner/blob/c6f4ad9e9f58d0ae4b32f93bcb956ad51b907e8c/miner_config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=vecocoin/GUI-miner; path=miner_config.json; review before promotion.
tr.vipor.net,5040,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/ksp-fon/mining/blob/51625729c18516cde084ca334db1fcd7041c3a1c/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=ksp-fon/mining; path=config.json; review before promotion.
tr.zephyr.herominers.com,1123,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/UltimateABC/storagemyfiles/blob/ae1aabccb9258017f64d7dfd72af9a5783662725/gminer/zephyrConfig.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query xmrig_pools_json; repo=UltimateABC/storagemyfiles; path=gminer/zephyrConfig.json; review before promotion.
u1pool.com,18888,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/UlordChain/Ulordrig-win/blob/d4a0859be5164dbac71dd1bb3c3a9555bc2875ac/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=UlordChain/Ulordrig-win; path=config.json; review before promotion.
us.cloudiko.io,9999,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,USA,open_source,https://github.com/Darktron/pre-compiled/blob/89769f1e11d3d1266166960b169f6c3fbca250d8/config.json; https://github.com/Darktron/piccminer/blob/cc3cbe20052b8d503c24b48bb8c2c43d60047d7a/config.json; https://github.com/tkashro/verus-mining/blob/b6039243e3ae4428caeacfd3b1a986fbf6c9cb78/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=Darktron/pre-compiled; path=config.json; review before promotion.
us.vipor.net,5040,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,USA,open_source,https://github.com/Darktron/pre-compiled/blob/89769f1e11d3d1266166960b169f6c3fbca250d8/config.json; https://github.com/Darktron/piccminer/blob/cc3cbe20052b8d503c24b48bb8c2c43d60047d7a/config.json; https://github.com/chefsas/Verus/blob/304ec24abeb7c7bce64c4636cb3e7d8bfeed2b7c/config.json; https://github.com/tkashro/verus-mining/blob/b6039243e3ae4428caeacfd3b1a986fbf6c9cb78/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=Darktron/pre-compiled; path=config.json; review before promotion.
us1-zcash.flypool.org,3333,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/mbevand/silentarmy/blob/c6a9ca85a81708589c904d2cbf3c665cd7ce5fa0/silentarmy,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query mining_subscribe; repo=mbevand/silentarmy; path=silentarmy; review before promotion.
us2.ethermine.org,5555,stratum+ssl,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/PTRFRLL/nv-docker-trex/blob/788b7d705a3883c31fccb05e90d6c5d45a0d4c52/config/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_ssl_json; repo=PTRFRLL/nv-docker-trex; path=config/config.json; review before promotion.
usse.vipor.net,5040,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/Darktron/pre-compiled/blob/89769f1e11d3d1266166960b169f6c3fbca250d8/config.json; https://github.com/Darktron/piccminer/blob/cc3cbe20052b8d503c24b48bb8c2c43d60047d7a/config.json; https://github.com/tkashro/verus-mining/blob/b6039243e3ae4428caeacfd3b1a986fbf6c9cb78/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=Darktron/pre-compiled; path=config.json; review before promotion.
ussw.vipor.net,5040,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/chefsas/Verus/blob/304ec24abeb7c7bce64c4636cb3e7d8bfeed2b7c/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=chefsas/Verus; path=config.json; review before promotion.
verus.aninterestinghole.xyz,9998,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,USA,open_source,https://github.com/Darktron/pre-compiled/blob/89769f1e11d3d1266166960b169f6c3fbca250d8/config.json; https://github.com/Darktron/piccminer/blob/cc3cbe20052b8d503c24b48bb8c2c43d60047d7a/config.json; https://github.com/chefsas/Verus/blob/304ec24abeb7c7bce64c4636cb3e7d8bfeed2b7c/config.json; https://github.com/tkashro/verus-mining/blob/b6039243e3ae4428caeacfd3b1a986fbf6c9cb78/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=Darktron/pre-compiled; path=config.json; review before promotion.
verus.farm,9999,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,USA,open_source,https://github.com/Oink70/Android-Mining/blob/b02ac8eeb385f3d714aae59035fe06d2d5492c8b/config.json; https://github.com/TheMiningFarm/ARM64VERUS/blob/94b56ad5a4a136e69864b48d98cd7c9e53ed62e5/config.json; https://github.com/mersudin88/karabrakula/blob/67826208c0e40acc2270b8d7dc61fe029611e2ea/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=Oink70/Android-Mining; path=config.json; review before promotion.
verushash.mine.zergpool.com,3300,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/saijame-art/miner/blob/40873dd9dc3c60d6b22b4ed27c14ceacc7b7b627/onlineconfig.json; https://github.com/Darktron/pre-compiled/blob/89769f1e11d3d1266166960b169f6c3fbca250d8/config.json; https://github.com/Darktron/piccminer/blob/cc3cbe20052b8d503c24b48bb8c2c43d60047d7a/config.json; https://github.com/tkashro/verus-mining/blob/b6039243e3ae4428caeacfd3b1a986fbf6c9cb78/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=saijame-art/miner; path=onlineconfig.json; review before promotion.
web-ko1.gonspool.com,3333,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/arianvaldivieso/miner/blob/790c258624d0d25f3752e874ac18e0c4ebc838ec/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query xmrig_pools_json; repo=arianvaldivieso/miner; path=config.json; review before promotion.
webchain.thetapool.com,3333,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/monkins1010/Webchain-nvidia-opensource/blob/5e03ddd7c0e06cccdd96ec425613fb125c9d5542/src/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query xmrig_pools_json; repo=monkins1010/Webchain-nvidia-opensource; path=src/config.json; review before promotion.
xmr-us-east1.nanopool.org,10343,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,USA,open_source,https://github.com/morphytron/randomx-mining/blob/93415b00ea60f8cd1d079794a58c12af2b6b99a6/amd64/xmrig-no-docker/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query xmrig_pools_json; repo=morphytron/randomx-mining; path=amd64/xmrig-no-docker/config.json; review before promotion.
