pool_name,website_domain,website_url,profile_url,directory_source,source_type,confidence,first_seen,last_seen,notes
Kryptex,pool.kryptex.com,https://pool.kryptex.com/,https://minerstat.com/pools/kryptex; https://miningpoolstats.stream/alephium,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
KuCoin Pool,kucoin.com,https://www.kucoin.com/,https://minerstat.com/pools/kucoin-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
L5k,l5k.co.uk,https://l5k.co.uk/,https://minerstat.com/pools/l5k,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Leaf Pool,leafpool.com,https://leafpool.com/,https://minerstat.com/pools/leaf-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Let's Hash,letshash.it,https://letshash.it/,https://minerstat.com/pools/lets-hash,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
litecoinpool,litecoinpool.org,https://litecoinpool.org/,https://minerstat.com/pools/litecoinpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Luckpool,luckpool.net,https://luckpool.net/,https://minerstat.com/pools/luckpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
luckydogpool.com,luckydogpool.com,https://luckydogpool.com/,https://miningpoolstats.stream/5gcash,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for 5gcash.
LuckyPool,luckypool.io,https://luckypool.io/,https://minerstat.com/pools/luckypool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Luxor,luxor.tech,https://luxor.tech/,https://minerstat.com/pools/luxor,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
m2pool.com,m2pool.com,https://m2pool.com/,https://miningpoolstats.stream/alephium,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for alephium.
MaxHash,maxhash.org,https://maxhash.org/,https://minerstat.com/pools/maxhash,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Maxpool,maxpool.org,https://maxpool.org/,https://miningpoolstats.stream/abelian,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for abelian.
