node_host,port,node_type,pool_name,coin,source_url,first_seen,last_seen,notes
108.137.44.248,18080,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
108.4.232.185,16661,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
109.104.155.110,8788,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
109.123.233.94,11811,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
109.123.233.94,19000,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
109.173.162.234,9977,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
109.205.181.171,22777,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
109.228.37.150,6333,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
110.78.164.25,60777,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
111.229.210.5,8632,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
116.202.196.52,12340,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
116.202.32.250,7777,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
116.202.84.94,8333,addnode,AikaPool,BTC,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
116.203.4.236,9333,addnode,AikaPool,LTC,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
118.189.201.104,9574,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
118.189.201.104,9588,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
118.189.201.104,9598,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
121.168.26.107,8755,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
124.223.23.52,2023,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
124.223.23.52,17088,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
125.136.151.230,8755,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
125.237.189.4,12340,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
128.140.5.29,33874,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
128.199.174.93,33884,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
128.199.227.216,39941,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
128.199.51.87,8372,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
129.146.16.57,2023,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
129.146.16.57,16153,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
129.146.16.57,17899,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
129.146.161.225,6678,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
