domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
ethw.2miners.com,2020,stratum+tcp,2Miners,ETHW,Ethash,Europe,official,https://ethw.2miners.com/help; https://ethw.2miners.com/; https://ethw.2miners.com/#pools,confirmed,active,2026-04-17,2026-08-10,Official 2Miners ETHW endpoint. | Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources | Discovered by shallow crawling official website domain ethw.2miners.com. auto_source=official_site_crawl | Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources | Discovered by shallow crawling official website domain ethw.2miners.com. auto_source=official_site_crawl | Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources | Discovered by shallow crawling official website domain ethw.2miners.com. auto_source=official_site_crawl | Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources | Discovered by shallow crawlin
ethw.2miners.com,12020,stratum+ssl,2Miners,ETHW,Ethash,Global,official,https://ethw.2miners.com/help; https://2miners.com/faq,confirmed,active,2026-04-21,2026-08-10,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources | Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl | Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources | Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl | Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources | Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl | Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources | Discovered by shallow crawling official website domain 2miners.com. auto_sourc
us-ethw.2miners.com,2020,stratum+tcp,2Miners,ETHW,Ethash,USA,official,https://ethw.2miners.com/help,confirmed,active,2026-04-21,2026-08-10,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources
us-ethw.2miners.com,12020,stratum+ssl,2Miners,ETHW,Ethash,USA,official,https://ethw.2miners.com/help,confirmed,active,2026-04-21,2026-08-10,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources
rvn.2miners.com,6060,stratum+tcp,2Miners,RVN,KawPoW,Global,official,https://2miners.com/rvn-mining-pool; https://rvn.2miners.com/; https://rvn.2miners.com/#pools; https://github.com/DcTyle/QuantumMiner/blob/f6c71b9eb895631983852fa2e96be30293836cbb/miner/miner_runtime_config.json.bak_ascii; https://github.com/Flofactionllc/flofaction-website-backup/blob/fe35390c9fea96ada1fb7e6be331bfed252fbfbe/optimized_mining_config.json,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl | Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion. auto_source=github_code_search | Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl | Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion. auto_source=github_code_search | Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl | Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion. auto_source=github_code_search | Dis
rvn.2miners.com,16060,stratum+ssl,2Miners,RVN,KawPoW,Global,official,https://2miners.com/faq; https://ae.2miners.com/faq; https://bch.2miners.com/faq; https://beam.2miners.com/faq; https://btg.2miners.com/faq; https://ckb.2miners.com/faq; https://ctxc.2miners.com/faq; https://erg.2miners.com/faq; https://etc.2miners.com/faq; https://ethw.2miners.com/faq; https://grin.2miners.com/faq; https://kas.2miners.com/faq; https://mwc.2miners.com/faq; https://neox.2miners.com/faq; https://nexa.2miners.com/faq; https://quaikawpow.2miners.com/faq; https://quaisha.2miners.com/faq; https://rvn.2miners.com/faq; https://solo-ae.2miners.com/faq; https://solo-bch.2miners.com/faq; https://solo-beam.2miners.com/faq; https://solo-btc.2miners.com/faq; https://solo-btg.2miners.com/faq; https://solo-ckb.2miners.com/faq; https://solo-ctxc.2miners.com/faq; https://solo-erg.2miners.com/faq; https://solo-etc.2miners.com/faq; https://solo-ethw.2miners.com/faq; https://solo-grin.2miners.com/faq; https://solo-kas.2miners.com/faq; https://solo-mwc.2miners.com/faq; https://solo-neox.2miners.com/faq; https://solo-nexa.2miners.com/faq; https://solo-quaikawpow.2miners.com/faq; https://solo-quaisha.2miners.com/faq; https://solo-rvn.2miners.com/faq; https://solo-xna.2miners.com/faq; https://solo-zec.2miners.com/faq; https://solo-zeph.2miners.com/faq; https://xna.2miners.com/faq; https://zec.2miners.com/faq; https://zeph.2miners.com/faq; https://prl.2miners.com/faq; https://solo-prl.2miners.com/faq,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl
zec.2miners.com,1010,stratum+tcp,2Miners,ZEC,Equihash,Global,official,https://2miners.com/faq; https://ae.2miners.com/faq; https://bch.2miners.com/faq; https://beam.2miners.com/faq; https://btg.2miners.com/faq; https://ckb.2miners.com/faq; https://ctxc.2miners.com/faq; https://erg.2miners.com/faq; https://etc.2miners.com/faq; https://ethw.2miners.com/faq; https://grin.2miners.com/faq; https://kas.2miners.com/faq; https://mwc.2miners.com/faq; https://neox.2miners.com/faq; https://nexa.2miners.com/faq; https://quaikawpow.2miners.com/faq; https://quaisha.2miners.com/faq; https://rvn.2miners.com/faq; https://solo-ae.2miners.com/faq; https://solo-bch.2miners.com/faq; https://solo-beam.2miners.com/faq; https://solo-btc.2miners.com/faq; https://solo-btg.2miners.com/faq; https://solo-ckb.2miners.com/faq; https://solo-ctxc.2miners.com/faq; https://solo-erg.2miners.com/faq; https://solo-etc.2miners.com/faq; https://solo-ethw.2miners.com/faq; https://solo-grin.2miners.com/faq; https://solo-kas.2miners.com/faq; https://solo-mwc.2miners.com/faq; https://solo-neox.2miners.com/faq; https://solo-nexa.2miners.com/faq; https://solo-quaikawpow.2miners.com/faq; https://solo-quaisha.2miners.com/faq; https://solo-rvn.2miners.com/faq; https://solo-xna.2miners.com/faq; https://solo-zec.2miners.com/faq; https://solo-zeph.2miners.com/faq; https://xna.2miners.com/faq; https://zec.2miners.com/; https://zec.2miners.com/#pools; https://zec.2miners.com/faq; https://zeph.2miners.com/faq; https://prl.2miners.com/faq; https://solo-prl.2miners.com/faq,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl
bch.2miners.com,7070,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://bch.2miners.com/; https://bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-06-08,Discovered by shallow crawling official website domain bch.2miners.com. auto_source=official_site_crawl
bch.2miners.com,7171,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://bch.2miners.com/; https://bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-06-08,Discovered by shallow crawling official website domain bch.2miners.com. auto_source=official_site_crawl
bch.2miners.com,7272,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://bch.2miners.com/; https://bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-06-08,Discovered by shallow crawling official website domain bch.2miners.com. auto_source=official_site_crawl
